,content,date,text,Length,sid_sentiment,finbert_label
0,"['big', 'go', 'month', 'that', 'year', 'seek', 'billion', 'valuat', 'worth', 'year', 'worth', 'x', 'trillion']",20211102 2333060000,big go month that year seek billion valuat worth year worth x trillion,13,0.4215,0
1,"['price', 'trade', 'next', 'made', 'tini', 'chunk', 'avail', 'retail', 'via', 'brokerag', 'platform']",20211102 2329350000,price trade next made tini chunk avail retail via brokerag platform,11,0.0,0
2,"['billion', 'market', 'capit', 'roughli', 'equal', 'honda', 'motor', 'corp', 'end', 'billion', 'valuat', 'ford', 'f', 'investor', 'valu', 'billion']",20211102 2328540000,billion market capit roughli equal honda motor corp end billion valuat ford f investor valu billion,16,0.0,0
3,"['truck', 'maker', 'set', 'much', 'compani', 'offer', 'million', 'prospectu', 'said', 'trade', 'ticker']",20211102 2325330000,truck maker set much compani offer million prospectu said trade ticker,11,0.0,0
4,"['what', 'view', 'sell', 'portion', 'directli', 'would', 'push', 'stock', 'higher', 'news', 'big', 'enough']",20211102 2319580000,what view sell portion directli would push stock higher news big enough,12,0.0,0
5,['feel'],20211102 2313240000,feel,1,0.0,0
6,"['good', 'luck', 'everyon', 'get']",20211102 2304270000,good luck everyon get,4,0.7096,0
7,"['electr', 'vehicl', 'maker', 'rais', 'billion', 'fox', 'busi']",20211102 2301430000,electr vehicl maker rais billion fox busi,7,0.0,0
8,"['electr', 'vehicl', 'maker', 'rais', 'billion']",20211102 2254310000,electr vehicl maker rais billion,5,0.0,0
9,['offer'],20211102 2225240000,offer,1,0.0,0
10,"['financi', 'daili', 'dose', 'top', 'stori', 'maker', 'seek', 'market', 'valu', 'come']",20211102 2225020000,financi daili dose top stori maker seek market valu come,10,0.2023,0
11,"['stock', 'know', 'come', 'public']",20211102 2215040000,stock know come public,4,0.0,0
12,"['short', 'squeez', 'stock', 'back', 'look', 'car', 'today', 'could', 'run', 'hold', 'well', 'ahead', 'next', 'week', 'float', 'short', 'car']",20211102 2208230000,short squeez stock back look car today could run hold well ahead next week float short car,17,0.2732,0
13,"['truck', 'plant', 'normal', 'billion', 'valuat', 'ford']",20211102 2158520000,truck plant normal billion valuat ford,6,0.0,0
14,"['financi', 'daili', 'dose', 'top', 'stori', 'maker', 'seek', 'market', 'valu', 'come']",20211102 2158380000,financi daili dose top stori maker seek market valu come,10,0.2023,0
15,"['back', 'electr', 'car', 'compani', 'seek', 'billion', 'harri', 'electr', 'car', 'automot', 'valuat', 'around', 'billion', 'initi', 'public', 'offer', 'set', 'next', 'week', 'multipl']",20211102 2125030000,back electr car compani seek billion harri electr car automot valuat around billion initi public offer set next week multipl,20,0.0,0
16,"['sell', 'portion', 'billion', 'directli', 'busi', 'insid']",20211102 2113470000,sell portion billion directli busi insid,6,0.0,0
17,"['get', 'see', 'get', 'fill', 'want', 'shot', 'sign']",20211102 2113020000,get see get fill want shot sign,7,0.0772,0
18,"['actual', 'appli', 'well', 'actual', 'got', 'assign', 'super', 'got', 'price', 'stock', 'immedi', 'went', 'soon', 'list']",20211102 2107150000,actual appli well actual got assign super got price stock immedi went soon list,14,0.7184,0
19,"['stock', 'avail', 'access']",20211102 2057550000,stock avail access,3,0.0,0
20,"['massiv', 'short', 'squeez', 'stock', 'car', 'next', 'week']",20211102 2054110000,massiv short squeez stock car next week,7,0.0,0
21,"['share', 'that', 'steal', 'compani', 'almost', 'increas', 'valu', 'also', 'get', 'earli', 'servic', 'take', 'advantag']",20211102 2046250000,share that steal compani almost increas valu also get earli servic take advantag,13,-0.25,0
22,['live'],20211102 2041330000,live,1,0.0,0
23,"['check', 'major', 'institut', 'seek', 'pay', 'refer', 'major', 'privat', 'us', 'administr', 'would', 'halt', 'german', 'car', 'refer', 'major', 'privat', 'current', 'us', 'administr']",20211102 2027250000,check major institut seek pay refer major privat us administr would halt german car refer major privat current us administr,20,-0.1689,-1
