,content,date,text,Length,sid_sentiment,finbert_label
0,"['close', 'order', 'book', 'earli']",20140912 2359110000,close order book earli,4,0.0,0
1,"['closer', 'look', 'loom', 'home', 'abroad']",20140912 2357570000,closer look loom home abroad,5,-0.2263,0
2,"['closer', 'look', 'loom', 'home', 'abroad']",20140912 2355130000,closer look loom home abroad,5,-0.2263,0
3,"['could', 'biggest', 'ever', 'shouldnt', 'look', 'sign', 'market', 'top']",20140912 2350290000,could biggest ever shouldnt look sign market top,8,0.2023,0
4,"['jack', 'model', 'impress', 'boston', 'event']",20140912 2350190000,jack model impress boston event,5,0.4404,0
5,"['jack', 'model', 'impress', 'boston', 'event']",20140912 2350090000,jack model impress boston event,5,0.4404,0
6,"['shouldnt', 'buy']",20140912 2349310000,shouldnt buy,2,0.0,0
7,"['cant', 'join', 'link', 'remov']",20140912 2348070000,cant join link remov,4,-0.2235,0
8,"['buy', 'stock']",20140912 2347150000,buy stock,2,0.0,0
9,"['drop', 'billion', 'lap', 'nigh', 'next', 'week']",20140912 2347030000,drop billion lap nigh next week,6,-0.2732,-1
10,"['dont', 'look', 'sign', 'market', 'top', 'strategist']",20140912 2347020000,dont look sign market top strategist,6,0.2023,0
11,"['drop', 'billion', 'lap', 'nigh', 'next', 'week']",20140912 2347020000,drop billion lap nigh next week,6,-0.2732,-1
12,"['drop', 'billion', 'lap']",20140912 2347010000,drop billion lap,3,-0.2732,0
13,"['drop', 'billion', 'lap']",20140912 2347010000,drop billion lap,3,-0.2732,0
14,"['drop', 'billion', 'lap', 'nigh', 'next', 'week', 'market']",20140912 2346590000,drop billion lap nigh next week market,7,-0.2732,0
15,"['drop', 'billion', 'lap']",20140912 2346590000,drop billion lap,3,-0.2732,0
16,"['drop', 'billion', 'lap']",20140912 2346570000,drop billion lap,3,-0.2732,0
17,"['drop', 'billion', 'lap', 'market']",20140912 2346560000,drop billion lap market,4,-0.2732,0
18,"['drop', 'billion', 'lap', 'market']",20140912 2346560000,drop billion lap market,4,-0.2732,0
19,"['drop', 'billion', 'lap']",20140912 2346560000,drop billion lap,3,-0.2732,0
20,"['drop', 'billion', 'lap']",20140912 2346560000,drop billion lap,3,-0.2732,0
21,"['drop', 'billion', 'lap', 'market']",20140912 2346540000,drop billion lap market,4,-0.2732,0
22,"['kingmak', 'could', 'creat', 'new', 'silicon', 'valley', 'power', 'broker']",20140912 2345590000,kingmak could creat new silicon valley power broker,8,0.0,0
23,"['cant', 'join']",20140912 2343380000,cant join,2,-0.2235,0
24,"['cant', 'join']",20140912 2343260000,cant join,2,-0.2235,0
25,"['yahoo', 'gain', 'everyon', 'piec']",20140912 2340490000,yahoo gain everyon piec,4,0.5267,0
26,"['prof', 'un', 'sull', 'che', 'lei', 'come', 'la']",20140912 2340430000,prof un sull che lei come la,7,0.0,0
27,"['disturb', 'ahead']",20140912 2340290000,disturb ahead,2,-0.4019,0
28,"['frenzi', 'small', 'investor', 'pend', 'stir', 'much', 'interest', 'among', 'individu']",20140912 2340290000,frenzi small investor pend stir much interest among individu,9,0.4588,0
29,"['prof', 'un', 'sull', 'che', 'come', 'la']",20140912 2340000000,prof un sull che come la,6,0.0,0
30,"['stop', 'take', 'earli', 'via']",20140912 2336340000,stop take earli via,4,-0.296,0
31,"['arent', 'equal', 'amid', 'demand', 'via']",20140912 2331590000,arent equal amid demand via,5,0.0951,0
32,"['news', 'market', 'excit', 'anxiou', 'massiv']",20140912 2330040000,news market excit anxiou massiv,5,0.0,0
33,"['pend', 'stir', 'much', 'interest', 'among', 'individu', 'us', 'may', 'lack']",20140912 2329280000,pend stir much interest among individu us may lack,9,0.1779,0
34,"['frenzi', 'small', 'investor', 'pend', 'stir', 'much', 'interest', 'among', 'individu']",20140912 2328180000,frenzi small investor pend stir much interest among individu,9,0.4588,0
35,"['frenzi', 'small', 'investor', 'pend', 'stir', 'much', 'interest']",20140912 2328030000,frenzi small investor pend stir much interest,7,0.4588,0
36,"['tech', 'news', 'frenzi', 'small', 'investor', 'pend']",20140912 2328010000,tech news frenzi small investor pend,6,0.0,0
